segment_id,year,norm_serviceable_market_size,norm_cagr,norm_design_services_addressability,norm_strategic_fit,norm_customer_demand,norm_competitive_intensity,norm_entry_feasibility,contrib_serviceable_market_size,contrib_cagr,contrib_design_services_addressability,contrib_strategic_fit,contrib_customer_demand,contrib_competitive_intensity,contrib_entry_feasibility,opportunity_score,rank_in_year
ANLG,2021,100.0,0.0,100.0,100.0,56.8571,50.0,100.0,20.0,0.0,15.0,15.0,5.6857,5.0,10.0,70.6857,1
ANLG,2022,100.0,0.0,100.0,100.0,55.8974,51.049,100.0,20.0,0.0,15.0,15.0,5.5897,5.1049,10.0,70.6946,1
ANLG,2023,100.0,0.0,100.0,100.0,56.7935,61.9165,100.0,20.0,0.0,15.0,15.0,5.6794,6.1916,10.0,71.871,1
ANLG,2024,100.0,0.0,100.0,100.0,59.2391,59.53,100.0,20.0,0.0,15.0,15.0,5.9239,5.953,10.0,71.8769,1
ANLG,2025,100.0,0.0,100.0,100.0,58.7571,63.9225,100.0,20.0,0.0,15.0,15.0,5.8757,6.3923,10.0,72.268,1
ANLG,2026,94.581,0.0,100.0,99.2819,64.3836,65.736,100.0,18.9162,0.0,15.0,14.8923,6.4384,6.5736,10.0,71.8205,2
ANLG,2027,81.7135,0.0,100.0,100.0,62.4679,69.3095,100.0,16.3427,0.0,15.0,15.0,6.2468,6.931,10.0,69.5205,1
ANLG,2028,70.1371,0.0,100.0,100.0,58.8391,71.3924,100.0,14.0274,0.0,15.0,15.0,5.8839,7.1392,10.0,67.0505,2
ANLG,2029,59.3855,0.0,100.0,100.0,56.6038,72.3514,100.0,11.8771,0.0,15.0,15.0,5.6604,7.2351,10.0,64.7726,2
ANLG,2030,51.496,0.0,100.0,99.422,54.2857,73.445,100.0,10.2992,0.0,15.0,14.9133,5.4286,7.3445,10.0,62.9856,3
AUTO,2021,72.6468,15.7407,89.4737,95.23,86.2857,57.6389,83.2143,14.5294,3.1481,13.4211,14.2845,8.6286,5.7639,8.3214,68.097,2
AUTO,2022,76.3438,15.6667,90.1665,93.5652,80.7692,57.3427,79.5158,15.2688,3.1333,13.525,14.0348,8.0769,5.7343,7.9516,67.7247,2
AUTO,2023,78.366,15.5882,90.8483,94.614,78.5326,58.4767,85.1648,15.6732,3.1176,13.6272,14.1921,7.8533,5.8477,8.5165,68.8276,2
AUTO,2024,81.6225,15.4545,91.5099,97.3638,81.5217,61.3577,79.7373,16.3245,3.0909,13.7265,14.6046,8.1522,6.1358,7.9737,70.0082,2
AUTO,2025,83.6095,15.3646,92.2071,94.8529,84.1808,59.5642,78.5199,16.7219,3.0729,13.8311,14.2279,8.4181,5.9564,7.852,70.0803,2
AUTO,2026,82.8849,15.3226,92.7897,100.0,90.6849,60.9137,82.5933,16.577,3.0645,13.9185,15.0,9.0685,6.0914,8.2593,71.9792,1
AUTO,2027,73.5532,15.2222,93.4579,94.3431,83.2905,61.1253,81.2389,14.7106,3.0444,14.0187,14.1515,8.329,6.1125,8.1239,68.4906,2
AUTO,2028,65.6358,15.0575,94.0633,93.8069,84.1689,65.8228,83.7696,13.1272,3.0115,14.1095,14.071,8.4169,6.5823,8.377,67.6954,1
AUTO,2029,56.75,14.9405,94.6583,95.0943,89.2183,67.1835,84.6287,11.35,2.9881,14.1987,14.2641,8.9218,6.7184,8.4629,66.904,1
AUTO,2030,52.8902,14.8148,95.2381,100.0,82.8571,63.6364,78.1787,10.578,2.963,14.2857,15.0,8.2857,6.3636,7.8179,65.2939,1
HPC,2021,43.6654,90.7407,36.8421,63.5434,100.0,0.0,44.8214,8.7331,18.1481,5.5263,9.5315,10.0,0.0,4.4821,56.4211,3
HPC,2022,52.4633,88.381,37.565,63.6522,100.0,0.0,36.8715,10.4927,17.6762,5.6347,9.5478,10.0,0.0,3.6872,57.0386,3
HPC,2023,59.3823,85.8824,38.3033,67.684,100.0,0.0,42.674,11.8765,17.1765,5.7455,10.1526,10.0,0.0,4.2674,59.2185,3
HPC,2024,76.6085,83.1313,38.9934,69.0685,100.0,0.0,40.1501,15.3217,16.6263,5.849,10.3603,10.0,0.0,4.015,62.1723,3
HPC,2025,89.3129,80.3125,39.6682,71.1397,100.0,0.0,34.8375,17.8626,16.0625,5.9502,10.671,10.0,0.0,3.4838,64.0301,3
HPC,2026,100.0,77.3118,40.3282,68.7612,100.0,0.0,36.5897,20.0,15.4624,6.0492,10.3142,10.0,0.0,3.659,65.4848,3
HPC,2027,100.0,74.1111,40.9739,70.8029,100.0,0.0,33.9823,20.0,14.8222,6.1461,10.6204,10.0,0.0,3.3982,64.9869,3
HPC,2028,100.0,70.5747,41.6058,70.3097,100.0,0.0,34.7295,20.0,14.1149,6.2409,10.5465,10.0,0.0,3.473,64.3753,3
HPC,2029,100.0,66.9048,42.2522,66.4151,100.0,0.0,30.5699,20.0,13.381,6.3378,9.9623,10.0,0.0,3.057,62.7381,3
HPC,2030,100.0,62.963,42.8571,72.0617,100.0,4.067,27.6632,20.0,12.5926,6.4286,10.8093,10.0,0.4067,2.7663,63.0035,2
MEM,2021,22.662,16.6667,0.0,0.0,0.0,11.1111,0.0,4.5324,3.3333,0.0,0.0,0.0,1.1111,0.0,8.9768,8
MEM,2022,22.8147,15.9048,0.0,0.0,0.0,6.7599,0.0,4.5629,3.181,0.0,0.0,0.0,0.676,0.0,8.4199,8
MEM,2023,19.9536,15.049,0.0,0.0,0.0,16.7076,0.0,3.9907,3.0098,0.0,0.0,0.0,1.6708,0.0,8.6713,8
MEM,2024,22.7934,14.1414,0.0,0.0,0.0,14.8825,0.0,4.5587,2.8283,0.0,0.0,0.0,1.4882,0.0,8.8752,8
MEM,2025,23.7444,13.1771,0.0,0.0,0.0,17.9177,0.0,4.7489,2.6354,0.0,0.0,0.0,1.7918,0.0,9.1761,8
MEM,2026,22.3187,12.2043,0.0,0.0,0.0,14.9746,0.0,4.4637,2.4409,0.0,0.0,0.0,1.4975,0.0,8.4021,8
MEM,2027,17.3298,11.1111,0.0,0.0,0.0,17.6471,0.0,3.466,2.2222,0.0,0.0,0.0,1.7647,0.0,7.4529,8
MEM,2028,14.8687,9.9425,0.0,0.0,0.0,21.2658,0.0,2.9737,1.9885,0.0,0.0,0.0,2.1266,0.0,7.0888,8
MEM,2029,11.5397,8.6905,0.0,0.0,0.0,12.6615,0.0,2.3079,1.7381,0.0,0.0,0.0,1.2662,0.0,5.3122,8
MEM,2030,10.5623,7.4074,0.0,0.0,0.0,25.5981,0.0,2.1125,1.4815,0.0,0.0,0.0,2.5598,0.0,6.1538,8
MEMS,2021,13.1761,8.3333,76.3158,53.4923,19.7143,56.0185,91.4286,2.6352,1.6667,11.4474,8.0238,1.9714,5.6019,9.1429,40.4893,6
MEMS,2022,12.5425,8.2857,76.0146,61.5652,25.3846,57.8089,88.2682,2.5085,1.6571,11.4022,9.2348,2.5385,5.7809,8.8268,41.9488,6
MEMS,2023,11.5414,8.1863,75.6812,59.0664,19.5652,68.059,93.5897,2.3083,1.6373,11.3522,8.86,1.9565,6.8059,9.359,42.2792,6
MEMS,2024,10.7304,8.0808,75.4448,57.8207,17.1196,70.235,90.6191,2.1461,1.6162,11.3167,8.6731,1.712,7.0235,9.0619,41.5495,6
MEMS,2025,9.1708,7.9688,75.1634,57.9044,17.5141,70.7022,87.7256,1.8342,1.5938,11.2745,8.6857,1.7514,7.0702,8.7726,40.9824,6
MEMS,2026,7.3026,7.9032,74.8384,58.7074,23.5616,70.8122,88.4547,1.4605,1.5806,11.2258,8.8061,2.3562,7.0812,8.8455,41.3559,6
MEMS,2027,4.7523,7.7778,74.5696,56.9343,20.8226,70.844,90.2655,0.9505,1.5556,11.1854,8.5401,2.0823,7.0844,9.0266,40.4249,6
MEMS,2028,2.6459,7.6437,74.3552,59.0164,22.1636,77.9747,88.6562,0.5292,1.5287,11.1533,8.8525,2.2164,7.7975,8.8656,40.9432,6
MEMS,2029,0.0,7.5,74.0616,59.0566,16.442,79.0698,91.3644,0.0,1.5,11.1092,8.8585,1.6442,7.907,9.1364,40.1553,6
MEMS,2030,0.0,7.4074,73.8095,60.1156,15.7143,80.622,85.0515,0.0,1.4815,11.0714,9.0173,1.5714,8.0622,8.5052,39.709,6
PHOT,2021,0.0,100.0,81.5789,21.2947,25.1429,100.0,30.5357,0.0,20.0,12.2368,3.1942,2.5143,10.0,3.0536,50.9989,5
PHOT,2022,0.0,100.0,82.102,25.2174,31.7949,100.0,32.9609,0.0,20.0,12.3153,3.7826,3.1795,10.0,3.2961,52.5735,5
PHOT,2023,0.0,100.0,82.5707,24.4165,30.7065,100.0,36.8132,0.0,20.0,12.3856,3.6625,3.0706,10.0,3.6813,52.8,5
PHOT,2024,0.0,100.0,83.0707,30.4042,40.7609,100.0,30.9568,0.0,20.0,12.4606,4.5606,4.0761,10.0,3.0957,54.193,5
PHOT,2025,0.0,100.0,83.5596,23.7132,36.4407,100.0,30.3249,0.0,20.0,12.5339,3.557,3.6441,10.0,3.0325,52.7675,5
PHOT,2026,0.0,100.0,83.9383,28.0072,46.8493,100.0,31.794,0.0,20.0,12.5907,4.2011,4.6849,10.0,3.1794,54.6561,5
PHOT,2027,0.0,100.0,84.4073,21.7153,57.3265,100.0,35.9292,0.0,20.0,12.6611,3.2573,5.7327,10.0,3.5929,55.244,5
PHOT,2028,0.0,100.0,84.8662,31.8761,59.8945,100.0,38.5689,0.0,20.0,12.7299,4.7814,5.9895,10.0,3.8569,57.3577,4
PHOT,2029,0.0582,100.0,85.2743,28.4906,62.5337,100.0,42.6598,0.0116,20.0,12.7911,4.2736,6.2534,10.0,4.266,57.5957,4
PHOT,2030,1.7912,100.0,85.7143,28.5164,68.8571,100.0,36.5979,0.3582,20.0,12.8571,4.2775,6.8857,10.0,3.6598,58.0383,4
PWR,2021,12.4755,56.0185,71.0526,53.6627,61.4286,84.0278,77.5,2.4951,11.2037,10.6579,8.0494,6.1429,8.4028,7.75,54.7018,4
PWR,2022,13.7019,56.0952,70.8117,54.7826,57.6923,81.5851,71.3222,2.7404,11.219,10.6218,8.2174,5.7692,8.1585,7.1322,53.8585,4
PWR,2023,14.7969,56.1765,70.5398,54.219,64.4022,82.5553,76.7399,2.9594,11.2353,10.581,8.1328,6.4402,8.2555,7.674,55.2782,4
PWR,2024,15.7387,56.2121,70.361,53.6028,72.0109,85.6397,73.7336,3.1477,11.2424,10.5542,8.0404,7.2011,8.564,7.3734,56.1232,4
PWR,2025,17.0781,56.3021,70.1357,54.7794,64.4068,80.6295,62.8159,3.4156,11.2604,10.5204,8.2169,6.4407,8.0629,6.2816,54.1985,4
PWR,2026,17.052,56.3978,69.8657,53.5009,77.2603,85.2792,62.3446,3.4104,11.2796,10.4799,8.0251,7.726,8.5279,6.2345,55.6834,4
PWR,2027,15.3212,56.5,69.6508,54.927,74.8072,84.9105,69.2035,3.0642,11.3,10.4476,8.239,7.4807,8.491,6.9204,55.9429,4
PWR,2028,13.8713,48.908,69.4891,57.0128,68.0739,49.1139,64.9215,2.7743,9.7816,10.4234,8.5519,6.8074,4.9114,6.4922,49.7422,5
PWR,2029,12.1117,40.7738,69.2493,50.3774,61.4555,17.8295,64.7668,2.4223,8.1548,10.3874,7.5566,6.1456,1.783,6.4767,42.9264,5
PWR,2030,12.4595,32.0988,69.0476,57.4181,58.2857,0.0,62.8866,2.4919,6.4198,10.3571,8.6127,5.8286,0.0,6.2887,39.9988,5
RF5G,2021,19.7033,7.4074,60.5263,64.3952,51.1429,19.213,63.5714,3.9407,1.4815,9.0789,9.6593,5.1143,1.9213,6.3571,37.5531,7
RF5G,2022,19.233,7.0952,60.4058,62.7826,42.5641,19.3473,61.825,3.8466,1.419,9.0609,9.4174,4.2564,1.9347,6.1825,36.1175,7
RF5G,2023,18.1962,6.7647,60.2571,62.8366,34.7826,25.7985,67.9487,3.6392,1.3529,9.0386,9.4255,3.4783,2.5799,6.7949,36.3093,7
RF5G,2024,17.782,6.3636,60.1932,65.2021,35.8696,26.6319,62.8518,3.5564,1.2727,9.029,9.7803,3.587,2.6632,6.2852,36.1738,7
RF5G,2025,16.859,5.9896,60.0804,60.2941,31.0734,29.2978,59.7473,3.3718,1.1979,9.0121,9.0441,3.1073,2.9298,5.9747,34.6377,7
RF5G,2026,14.2354,5.6452,59.9204,63.5548,26.8493,28.6802,63.2327,2.8471,1.129,8.9881,9.5332,2.6849,2.868,6.3233,34.3736,7
RF5G,2027,10.7785,5.2222,59.8131,61.3139,26.4781,33.2481,58.7611,2.1557,1.0444,8.972,9.1971,2.6478,3.3248,5.8761,33.2179,7
RF5G,2028,7.7556,4.7126,59.7567,66.3024,20.5805,37.7215,61.7801,1.5511,0.9425,8.9635,9.9454,2.058,3.7722,6.178,33.4107,7
