segment_id,year,market_size_usd_bn,cagr_pct,design_services_addressable_pct,serviceable_market_usd_bn,competitive_intensity,customer_demand,entry_feasibility,strategic_fit,talent_availability,design_cycle_months
ANLG,2021,77.129,7.4,0.225,17.354,58.7,72.4,79.6,89.3,79.8,15.0
ANLG,2022,80.517,7.22,0.2283,18.382,59.3,73.8,79.8,88.4,80.1,15.2
ANLG,2023,81.978,7.04,0.2317,18.9943,58.1,76.1,78.3,88.3,80.3,15.4
ANLG,2024,91.35,6.87,0.235,21.4672,60.7,75.9,79.1,89.0,82.5,15.7
ANLG,2025,100.909,6.69,0.2383,24.0466,60.1,77.7,81.3,89.3,83.9,15.9
ANLG,2026,105.771,6.51,0.2417,25.5649,60.4,78.6,81.5,89.7,81.9,16.1
ANLG,2027,110.091,6.33,0.245,26.9723,61.1,79.6,81.3,91.1,85.2,16.3
ANLG,2028,120.488,6.16,0.2483,29.9172,62.2,78.8,81.0,90.6,83.8,16.6
ANLG,2029,128.095,5.98,0.2517,32.2415,62.2,78.3,81.2,91.1,85.0,16.8
ANLG,2030,132.073,5.8,0.255,33.6786,63.3,79.8,82.7,90.3,85.1,17.0
AUTO,2021,62.619,10.8,0.205,12.8369,55.4,82.7,70.2,86.5,75.2,17.0
AUTO,2022,68.238,10.51,0.2094,14.289,56.6,83.5,68.8,84.7,74.8,17.3
AUTO,2023,70.936,10.22,0.2139,15.1732,59.5,84.1,70.2,85.3,75.3,17.6
AUTO,2024,81.8,9.93,0.2183,17.8569,60.0,84.1,68.3,87.5,77.0,17.8
AUTO,2025,91.976,9.64,0.2228,20.4923,61.9,86.7,69.4,86.5,78.7,18.1
AUTO,2026,100.283,9.36,0.2272,22.7843,62.3,88.2,71.7,90.1,79.9,18.4
AUTO,2027,106.416,9.07,0.2317,24.6566,64.3,87.7,70.7,88.0,78.8,18.7
AUTO,2028,119.892,8.78,0.2361,28.3065,64.4,88.4,71.7,87.2,79.2,18.9
AUTO,2029,129.19,8.49,0.2406,31.0831,64.2,90.4,72.3,88.5,80.7,19.2
AUTO,2030,140.451,8.2,0.245,34.4105,67.4,89.8,70.0,90.6,79.2,19.5
HPC,2021,76.675,27.0,0.105,8.0509,80.3,87.5,48.7,67.9,48.2,22.0
HPC,2022,93.788,25.78,0.1083,10.1572,81.2,91.0,45.9,67.5,51.3,22.3
HPC,2023,105.821,24.56,0.1117,11.8202,83.3,92.0,47.0,70.3,51.6,22.7
HPC,2024,146.712,23.33,0.115,16.8719,83.5,90.9,47.2,71.4,51.8,23.0
HPC,2025,183.678,22.11,0.1183,21.7291,86.5,92.3,45.2,73.6,55.8,23.3
HPC,2026,220.651,20.89,0.1217,26.8532,86.3,91.6,45.8,72.7,56.5,23.7
HPC,2027,257.293,19.67,0.125,32.1616,88.2,94.2,44.0,75.1,56.1,24.0
HPC,2028,316.47,18.44,0.1283,40.6031,90.4,94.4,43.6,74.3,57.4,24.3
HPC,2029,380.359,17.22,0.1317,50.0933,90.2,94.4,41.0,73.3,58.7,24.7
HPC,2030,438.08,16.0,0.135,59.1408,92.3,95.8,40.6,76.1,58.6,25.0
MEM,2021,130.927,11.0,0.035,4.5824,75.5,52.5,23.6,30.6,42.1,28.0
MEM,2022,139.264,10.56,0.0361,5.0274,78.3,52.0,26.1,30.9,43.4,28.3
MEM,2023,130.541,10.11,0.0372,4.8561,76.5,55.2,23.7,32.6,43.5,28.7
MEM,2024,164.485,9.67,0.0383,6.2998,77.8,54.1,25.8,32.1,45.0,29.0
MEM,2025,190.621,9.22,0.0394,7.5105,79.1,56.9,25.9,34.9,43.7,29.3
MEM,2026,206.536,8.78,0.0406,8.3854,80.4,55.1,25.2,34.4,44.3,29.7
MEM,2027,208.673,8.33,0.0417,8.7017,81.3,55.3,24.8,36.3,45.4,30.0
MEM,2028,236.925,7.89,0.0428,10.1404,82.0,56.5,23.7,35.7,46.9,30.3
MEM,2029,255.382,7.44,0.0439,11.2113,85.3,57.3,23.3,38.1,46.2,30.7
MEM,2030,270.901,7.0,0.045,12.1905,83.3,60.8,24.5,38.7,47.4,31.0
MEMS,2021,16.755,9.2,0.18,3.0159,56.1,59.4,74.8,62.0,60.3,9.5
MEMS,2022,17.838,8.96,0.1822,3.2501,56.4,61.9,73.5,66.3,62.2,9.6
MEMS,2023,18.277,8.71,0.1844,3.3703,55.6,62.4,74.8,65.5,65.2,9.7
MEMS,2024,21.05,8.47,0.1867,3.93,56.6,60.4,74.1,65.0,64.0,9.8
MEMS,2025,23.029,8.22,0.1889,4.3502,57.3,63.1,74.5,66.4,65.0,9.9
MEMS,2026,25.199,7.98,0.1911,4.8155,58.4,63.7,75.0,67.1,67.4,10.1
MEMS,2027,26.552,7.73,0.1933,5.1325,60.5,63.4,75.8,67.5,69.1,10.2
MEMS,2028,29.482,7.49,0.1956,5.7667,59.6,64.9,74.5,68.1,66.5,10.3
MEMS,2029,31.037,7.24,0.1978,6.1391,59.6,63.4,76.2,69.4,70.3,10.4
MEMS,2030,33.229,7.0,0.2,6.6458,60.3,66.3,74.0,69.9,72.1,10.5
PHOT,2021,4.421,29.0,0.19,0.84,37.1,61.3,40.7,43.1,24.4,19.0
PHOT,2022,5.57,28.22,0.1939,1.08,38.3,64.4,43.8,45.4,28.0,19.2
PHOT,2023,6.733,27.44,0.1978,1.3318,42.6,66.5,43.8,46.2,29.8,19.4
PHOT,2024,9.033,26.67,0.2017,1.822,45.2,69.1,42.3,49.4,30.9,19.7
PHOT,2025,11.486,25.89,0.2056,2.3615,45.2,69.8,42.7,47.8,29.3,19.9
PHOT,2026,14.706,25.11,0.2094,3.0794,46.9,72.2,43.1,50.0,32.1,20.1
PHOT,2027,17.74,24.33,0.2133,3.7839,49.1,77.6,45.1,48.2,33.8,20.3
PHOT,2028,22.191,23.56,0.2172,4.8199,50.9,79.2,45.8,53.2,36.5,20.6
PHOT,2029,27.882,22.78,0.2211,6.1647,51.5,80.5,48.0,53.2,35.8,20.8
PHOT,2030,33.716,22.0,0.225,7.5861,52.2,84.9,45.8,53.5,34.7,21.0
PWR,2021,17.06,19.5,0.17,2.9002,44.0,74.0,67.0,62.1,46.8,13.0
PWR,2022,20.039,19.0,0.1722,3.4507,46.2,74.5,64.4,62.4,48.2,13.2
PWR,2023,22.622,18.5,0.1744,3.9453,49.7,78.9,65.6,62.8,49.0,13.4
PWR,2024,27.809,18.0,0.1767,4.9139,50.7,80.6,65.1,62.6,51.4,13.7
PWR,2025,33.901,17.5,0.1789,6.0649,53.2,79.7,60.7,64.7,48.6,13.9
PWR,2026,39.389,17.0,0.1811,7.1333,52.7,83.3,60.3,64.2,53.0,14.1
