segment_id,year,factor,score
ANLG,2021,competitive_intensity,58.7
ANLG,2021,customer_demand,72.4
ANLG,2021,entry_feasibility,79.6
ANLG,2021,strategic_fit,89.3
ANLG,2021,talent_availability,79.8
ANLG,2022,competitive_intensity,59.3
ANLG,2022,customer_demand,73.8
ANLG,2022,entry_feasibility,79.8
ANLG,2022,strategic_fit,88.4
ANLG,2022,talent_availability,80.1
ANLG,2023,competitive_intensity,58.1
ANLG,2023,customer_demand,76.1
ANLG,2023,entry_feasibility,78.3
ANLG,2023,strategic_fit,88.3
ANLG,2023,talent_availability,80.3
ANLG,2024,competitive_intensity,60.7
ANLG,2024,customer_demand,75.9
ANLG,2024,entry_feasibility,79.1
ANLG,2024,strategic_fit,89.0
ANLG,2024,talent_availability,82.5
ANLG,2025,competitive_intensity,60.1
ANLG,2025,customer_demand,77.7
ANLG,2025,entry_feasibility,81.3
ANLG,2025,strategic_fit,89.3
ANLG,2025,talent_availability,83.9
ANLG,2026,competitive_intensity,60.4
ANLG,2026,customer_demand,78.6
ANLG,2026,entry_feasibility,81.5
ANLG,2026,strategic_fit,89.7
ANLG,2026,talent_availability,81.9
ANLG,2027,competitive_intensity,61.1
ANLG,2027,customer_demand,79.6
ANLG,2027,entry_feasibility,81.3
ANLG,2027,strategic_fit,91.1
ANLG,2027,talent_availability,85.2
ANLG,2028,competitive_intensity,62.2
ANLG,2028,customer_demand,78.8
ANLG,2028,entry_feasibility,81.0
ANLG,2028,strategic_fit,90.6
ANLG,2028,talent_availability,83.8
ANLG,2029,competitive_intensity,62.2
ANLG,2029,customer_demand,78.3
ANLG,2029,entry_feasibility,81.2
ANLG,2029,strategic_fit,91.1
ANLG,2029,talent_availability,85.0
ANLG,2030,competitive_intensity,63.3
ANLG,2030,customer_demand,79.8
ANLG,2030,entry_feasibility,82.7
ANLG,2030,strategic_fit,90.3
ANLG,2030,talent_availability,85.1
AUTO,2021,competitive_intensity,55.4
AUTO,2021,customer_demand,82.7
AUTO,2021,entry_feasibility,70.2
AUTO,2021,strategic_fit,86.5
AUTO,2021,talent_availability,75.2
AUTO,2022,competitive_intensity,56.6
AUTO,2022,customer_demand,83.5
AUTO,2022,entry_feasibility,68.8
AUTO,2022,strategic_fit,84.7
AUTO,2022,talent_availability,74.8
AUTO,2023,competitive_intensity,59.5
AUTO,2023,customer_demand,84.1
AUTO,2023,entry_feasibility,70.2
AUTO,2023,strategic_fit,85.3
AUTO,2023,talent_availability,75.3
AUTO,2024,competitive_intensity,60.0
AUTO,2024,customer_demand,84.1
AUTO,2024,entry_feasibility,68.3
AUTO,2024,strategic_fit,87.5
AUTO,2024,talent_availability,77.0
AUTO,2025,competitive_intensity,61.9
AUTO,2025,customer_demand,86.7
AUTO,2025,entry_feasibility,69.4
AUTO,2025,strategic_fit,86.5
AUTO,2025,talent_availability,78.7
AUTO,2026,competitive_intensity,62.3
AUTO,2026,customer_demand,88.2
AUTO,2026,entry_feasibility,71.7
AUTO,2026,strategic_fit,90.1
AUTO,2026,talent_availability,79.9
AUTO,2027,competitive_intensity,64.3
AUTO,2027,customer_demand,87.7
AUTO,2027,entry_feasibility,70.7
AUTO,2027,strategic_fit,88.0
AUTO,2027,talent_availability,78.8
AUTO,2028,competitive_intensity,64.4
AUTO,2028,customer_demand,88.4
AUTO,2028,entry_feasibility,71.7
AUTO,2028,strategic_fit,87.2
AUTO,2028,talent_availability,79.2
AUTO,2029,competitive_intensity,64.2
AUTO,2029,customer_demand,90.4
AUTO,2029,entry_feasibility,72.3
AUTO,2029,strategic_fit,88.5
AUTO,2029,talent_availability,80.7
AUTO,2030,competitive_intensity,67.4
AUTO,2030,customer_demand,89.8
AUTO,2030,entry_feasibility,70.0
AUTO,2030,strategic_fit,90.6
AUTO,2030,talent_availability,79.2
HPC,2021,competitive_intensity,80.3
HPC,2021,customer_demand,87.5
HPC,2021,entry_feasibility,48.7
HPC,2021,strategic_fit,67.9
HPC,2021,talent_availability,48.2
HPC,2022,competitive_intensity,81.2
HPC,2022,customer_demand,91.0
HPC,2022,entry_feasibility,45.9
HPC,2022,strategic_fit,67.5
HPC,2022,talent_availability,51.3
HPC,2023,competitive_intensity,83.3
HPC,2023,customer_demand,92.0
HPC,2023,entry_feasibility,47.0
HPC,2023,strategic_fit,70.3
HPC,2023,talent_availability,51.6
HPC,2024,competitive_intensity,83.5
HPC,2024,customer_demand,90.9
HPC,2024,entry_feasibility,47.2
HPC,2024,strategic_fit,71.4
HPC,2024,talent_availability,51.8
HPC,2025,competitive_intensity,86.5
HPC,2025,customer_demand,92.3
HPC,2025,entry_feasibility,45.2
HPC,2025,strategic_fit,73.6
HPC,2025,talent_availability,55.8
HPC,2026,competitive_intensity,86.3
HPC,2026,customer_demand,91.6
HPC,2026,entry_feasibility,45.8
HPC,2026,strategic_fit,72.7
HPC,2026,talent_availability,56.5
HPC,2027,competitive_intensity,88.2
HPC,2027,customer_demand,94.2
HPC,2027,entry_feasibility,44.0
HPC,2027,strategic_fit,75.1
HPC,2027,talent_availability,56.1
HPC,2028,competitive_intensity,90.4
HPC,2028,customer_demand,94.4
HPC,2028,entry_feasibility,43.6
HPC,2028,strategic_fit,74.3
HPC,2028,talent_availability,57.4
HPC,2029,competitive_intensity,90.2
HPC,2029,customer_demand,94.4
HPC,2029,entry_feasibility,41.0
HPC,2029,strategic_fit,73.3
HPC,2029,talent_availability,58.7
HPC,2030,competitive_intensity,92.3
HPC,2030,customer_demand,95.8
HPC,2030,entry_feasibility,40.6
HPC,2030,strategic_fit,76.1
HPC,2030,talent_availability,58.6
MEM,2021,competitive_intensity,75.5
MEM,2021,customer_demand,52.5
MEM,2021,entry_feasibility,23.6
MEM,2021,strategic_fit,30.6
MEM,2021,talent_availability,42.1
MEM,2022,competitive_intensity,78.3
MEM,2022,customer_demand,52.0
MEM,2022,entry_feasibility,26.1
MEM,2022,strategic_fit,30.9
MEM,2022,talent_availability,43.4
MEM,2023,competitive_intensity,76.5
MEM,2023,customer_demand,55.2
MEM,2023,entry_feasibility,23.7
MEM,2023,strategic_fit,32.6
MEM,2023,talent_availability,43.5
MEM,2024,competitive_intensity,77.8
MEM,2024,customer_demand,54.1
MEM,2024,entry_feasibility,25.8
MEM,2024,strategic_fit,32.1
MEM,2024,talent_availability,45.0
MEM,2025,competitive_intensity,79.1
MEM,2025,customer_demand,56.9
MEM,2025,entry_feasibility,25.9
MEM,2025,strategic_fit,34.9
MEM,2025,talent_availability,43.7
MEM,2026,competitive_intensity,80.4
MEM,2026,customer_demand,55.1
MEM,2026,entry_feasibility,25.2
MEM,2026,strategic_fit,34.4
MEM,2026,talent_availability,44.3
MEM,2027,competitive_intensity,81.3
MEM,2027,customer_demand,55.3
MEM,2027,entry_feasibility,24.8
MEM,2027,strategic_fit,36.3
MEM,2027,talent_availability,45.4
MEM,2028,competitive_intensity,82.0
MEM,2028,customer_demand,56.5
MEM,2028,entry_feasibility,23.7
MEM,2028,strategic_fit,35.7
MEM,2028,talent_availability,46.9
MEM,2029,competitive_intensity,85.3
MEM,2029,customer_demand,57.3
MEM,2029,entry_feasibility,23.3
MEM,2029,strategic_fit,38.1
MEM,2029,talent_availability,46.2
MEM,2030,competitive_intensity,83.3
MEM,2030,customer_demand,60.8
MEM,2030,entry_feasibility,24.5
MEM,2030,strategic_fit,38.7
MEM,2030,talent_availability,47.4
MEMS,2021,competitive_intensity,56.1
MEMS,2021,customer_demand,59.4
MEMS,2021,entry_feasibility,74.8
MEMS,2021,strategic_fit,62.0
MEMS,2021,talent_availability,60.3
MEMS,2022,competitive_intensity,56.4
MEMS,2022,customer_demand,61.9
MEMS,2022,entry_feasibility,73.5
MEMS,2022,strategic_fit,66.3
MEMS,2022,talent_availability,62.2
MEMS,2023,competitive_intensity,55.6
MEMS,2023,customer_demand,62.4
MEMS,2023,entry_feasibility,74.8
MEMS,2023,strategic_fit,65.5
MEMS,2023,talent_availability,65.2
MEMS,2024,competitive_intensity,56.6
MEMS,2024,customer_demand,60.4
MEMS,2024,entry_feasibility,74.1
MEMS,2024,strategic_fit,65.0
MEMS,2024,talent_availability,64.0
MEMS,2025,competitive_intensity,57.3
MEMS,2025,customer_demand,63.1
MEMS,2025,entry_feasibility,74.5
MEMS,2025,strategic_fit,66.4
MEMS,2025,talent_availability,65.0
MEMS,2026,competitive_intensity,58.4
MEMS,2026,customer_demand,63.7
MEMS,2026,entry_feasibility,75.0
MEMS,2026,strategic_fit,67.1
MEMS,2026,talent_availability,67.4
MEMS,2027,competitive_intensity,60.5
MEMS,2027,customer_demand,63.4
MEMS,2027,entry_feasibility,75.8
MEMS,2027,strategic_fit,67.5
MEMS,2027,talent_availability,69.1
MEMS,2028,competitive_intensity,59.6
MEMS,2028,customer_demand,64.9
MEMS,2028,entry_feasibility,74.5
MEMS,2028,strategic_fit,68.1
MEMS,2028,talent_availability,66.5
MEMS,2029,competitive_intensity,59.6
MEMS,2029,customer_demand,63.4
MEMS,2029,entry_feasibility,76.2
MEMS,2029,strategic_fit,69.4
MEMS,2029,talent_availability,70.3
MEMS,2030,competitive_intensity,60.3
MEMS,2030,customer_demand,66.3
MEMS,2030,entry_feasibility,74.0
MEMS,2030,strategic_fit,69.9
MEMS,2030,talent_availability,72.1
PHOT,2021,competitive_intensity,37.1
PHOT,2021,customer_demand,61.3
PHOT,2021,entry_feasibility,40.7
PHOT,2021,strategic_fit,43.1
PHOT,2021,talent_availability,24.4
PHOT,2022,competitive_intensity,38.3
PHOT,2022,customer_demand,64.4
PHOT,2022,entry_feasibility,43.8
PHOT,2022,strategic_fit,45.4
PHOT,2022,talent_availability,28.0
PHOT,2023,competitive_intensity,42.6
PHOT,2023,customer_demand,66.5
PHOT,2023,entry_feasibility,43.8
