segment_id,year,market_size_usd_bn,cagr_pct,design_services_addressable_pct,design_cycle_months
ANLG,2021,77.129,7.4,0.225,15.0
ANLG,2022,80.517,7.22,0.2283,15.2
ANLG,2023,81.978,7.04,0.2317,15.4
ANLG,2024,91.35,6.87,0.235,15.7
ANLG,2025,100.909,6.69,0.2383,15.9
ANLG,2026,105.771,6.51,0.2417,16.1
ANLG,2027,110.091,6.33,0.245,16.3
ANLG,2028,120.488,6.16,0.2483,16.6
ANLG,2029,128.095,5.98,0.2517,16.8
ANLG,2030,132.073,5.8,0.255,17.0
AUTO,2021,62.619,10.8,0.205,17.0
AUTO,2022,68.238,10.51,0.2094,17.3
AUTO,2023,70.936,10.22,0.2139,17.6
AUTO,2024,81.8,9.93,0.2183,17.8
AUTO,2025,91.976,9.64,0.2228,18.1
AUTO,2026,100.283,9.36,0.2272,18.4
AUTO,2027,106.416,9.07,0.2317,18.7
AUTO,2028,119.892,8.78,0.2361,18.9
AUTO,2029,129.19,8.49,0.2406,19.2
AUTO,2030,140.451,8.2,0.245,19.5
HPC,2021,76.675,27.0,0.105,22.0
HPC,2022,93.788,25.78,0.1083,22.3
HPC,2023,105.821,24.56,0.1117,22.7
HPC,2024,146.712,23.33,0.115,23.0
HPC,2025,183.678,22.11,0.1183,23.3
HPC,2026,220.651,20.89,0.1217,23.7
HPC,2027,257.293,19.67,0.125,24.0
HPC,2028,316.47,18.44,0.1283,24.3
HPC,2029,380.359,17.22,0.1317,24.7
HPC,2030,438.08,16.0,0.135,25.0
MEM,2021,130.927,11.0,0.035,28.0
MEM,2022,139.264,10.56,0.0361,28.3
MEM,2023,130.541,10.11,0.0372,28.7
MEM,2024,164.485,9.67,0.0383,29.0
MEM,2025,190.621,9.22,0.0394,29.3
MEM,2026,206.536,8.78,0.0406,29.7
MEM,2027,208.673,8.33,0.0417,30.0
MEM,2028,236.925,7.89,0.0428,30.3
MEM,2029,255.382,7.44,0.0439,30.7
MEM,2030,270.901,7.0,0.045,31.0
MEMS,2021,16.755,9.2,0.18,9.5
MEMS,2022,17.838,8.96,0.1822,9.6
MEMS,2023,18.277,8.71,0.1844,9.7
MEMS,2024,21.05,8.47,0.1867,9.8
MEMS,2025,23.029,8.22,0.1889,9.9
MEMS,2026,25.199,7.98,0.1911,10.1
MEMS,2027,26.552,7.73,0.1933,10.2
MEMS,2028,29.482,7.49,0.1956,10.3
MEMS,2029,31.037,7.24,0.1978,10.4
MEMS,2030,33.229,7.0,0.2,10.5
PHOT,2021,4.421,29.0,0.19,19.0
PHOT,2022,5.57,28.22,0.1939,19.2
PHOT,2023,6.733,27.44,0.1978,19.4
PHOT,2024,9.033,26.67,0.2017,19.7
PHOT,2025,11.486,25.89,0.2056,19.9
PHOT,2026,14.706,25.11,0.2094,20.1
PHOT,2027,17.74,24.33,0.2133,20.3
PHOT,2028,22.191,23.56,0.2172,20.6
PHOT,2029,27.882,22.78,0.2211,20.8
PHOT,2030,33.716,22.0,0.225,21.0
PWR,2021,17.06,19.5,0.17,13.0
PWR,2022,20.039,19.0,0.1722,13.2
PWR,2023,22.622,18.5,0.1744,13.4
PWR,2024,27.809,18.0,0.1767,13.7
PWR,2025,33.901,17.5,0.1789,13.9
PWR,2026,39.389,17.0,0.1811,14.1
PWR,2027,44.363,16.5,0.1833,14.3
PWR,2028,52.713,14.67,0.1856,14.6
PWR,2029,61.037,12.83,0.1878,14.8
PWR,2030,69.402,11.0,0.19,15.0
RF5G,2021,27.292,9.0,0.15,11.5
RF5G,2022,28.96,8.71,0.1522,11.6
RF5G,2023,29.441,8.42,0.1544,11.7
RF5G,2024,33.92,8.13,0.1567,11.8
RF5G,2025,37.869,7.84,0.1589,11.9
RF5G,2026,40.122,7.56,0.1611,12.1
RF5G,2027,41.902,7.27,0.1633,12.2
RF5G,2028,45.864,6.98,0.1656,12.3
RF5G,2029,49.652,6.69,0.1678,12.4
RF5G,2030,51.908,6.4,0.17,12.5
